timestamp,license_plate,confidence,vehicle_type,speed,violations
2025-03-29 23:38:04.446,NAI3NRU,0.16,Car,5.6,Lane Crossing
2025-03-29 23:38:04.446,NAI3NRU,0.16,Car,3.7,Lane Crossing
2025-03-29 23:38:04.875,LSISU,0.19,Unknown,0.0,None
2025-03-29 23:38:04.875,NMJNRU,0.34,Unknown,0.0,None
2025-03-29 23:38:04.875,LSISU,0.19,Car,5.1,Lane Crossing
2025-03-29 23:38:04.875,NMJNRU,0.34,Car,6.8,Lane Crossing
2025-03-29 23:38:04.875,NMJNRU,0.34,Car,3.7,Lane Crossing
2025-03-29 23:38:05.591,NAJNRU,0.48,Unknown,0.0,None
2025-03-29 23:38:05.591,LSSU,0.33,Unknown,0.0,None
2025-03-29 23:38:05.591,LSSU,0.33,Car,4.7,Lane Crossing
2025-03-29 23:38:05.591,NAJNRU,0.48,Car,6.1,Lane Crossing
2025-03-29 23:38:05.591,NAJNRU,0.48,Car,3.3,Lane Crossing
2025-03-29 23:38:06.018,NAIJNRU,0.42,Unknown,0.0,None
2025-03-29 23:38:06.018,CSKSU,0.32,Unknown,0.0,None
2025-03-29 23:38:06.018,CSKSU,0.32,Car,5.0,Lane Crossing
2025-03-29 23:38:06.018,NAIJNRU,0.42,Car,6.4,Lane Crossing
2025-03-29 23:38:06.018,NAIJNRU,0.42,Car,3.7,Lane Crossing
2025-03-29 23:38:06.528,NAI3NRU,0.41,Unknown,0.0,None
